retail_type,date_period,turnover_index,average_anual_variation_rate,Year_on_year_rate_of_change,monthly_rate_of_change
,Março de 2022,123.12,17,29.4,11.9
,Fevereiro de 2022,110.02,15.2,40.8,-1
,Janeiro de 2022,111.14,10.4,25,-28.8
,Dezembro de 2021,156.03,6.9,11.2,15.9
,Novembro de 2021,134.6,4.8,17.3,13.8
,Outubro de 2021,118.27,2.5,4.2,2
,Setembro de 2021,115.94,1.9,3.8,-0.1
,Agosto de 2021,116.08,1.8,5.8,-4.1
,Julho de 2021,121.06,1,2.9,7.2
,Junho de 2021,112.9,0.3,9.4,-3.2
,Maio de 2021,116.59,-0.8,36.9,15.7
,Abril de 2021,100.76,-5.3,45.4,5.9
,Março de 2021,95.17,-10.1,5.8,21.8
,Fevereiro de 2021,78.16,-11.5,-23.7,-12.1
,Janeiro de 2021,88.88,-9.4,-18.6,-36.7
,Dezembro de 2020,140.52,-7.6,-6.6,22.4
,Novembro de 2020,114.79,-6.5,-7.3,1.1
,Outubro de 2020,113.55,-6.8,-2.9,1.6
,Setembro de 2020,111.71,-6.1,2.8,1.8
,Agosto de 2020,109.73,-5.9,-4.2,-6.7
,Julho de 2020,117.6,-4.4,-3.5,13.9
,Junho de 2020,103.23,-3.8,-5.2,21.2
,Maio de 2020,85.18,-3.4,-25,22.9
,Abril de 2020,69.31,-1,-33.9,-23
,Março de 2020,89.99,2.2,-15.5,-12.1
,Fevereiro de 2020,102.4,3.7,6,-6.2
,Janeiro de 2020,109.2,3.7,4,-27.5
,Dezembro de 2019,150.53,3.7,3.7,21.6
,Novembro de 2019,123.82,3.5,3.8,5.9
,Outubro de 2019,116.93,3.6,2.7,7.6
,Setembro de 2019,108.66,4.1,3.9,-5.1
,Agosto de 2019,114.55,3.6,3.2,-6
,Julho de 2019,121.89,3.5,3.5,12
,Junho de 2019,108.86,3.5,-0.4,-4.1
,Maio de 2019,113.55,4,4.2,8.2
,Abril de 2019,104.92,4.2,7,-1.5
,Março de 2019,106.53,3.8,4.1,10.2
,Fevereiro de 2019,96.63,3.8,6.1,-8
,Janeiro de 2019,105.03,3.6,3.5,-27.7
"4719: Comércio a retalho em estabelecimentos não especializados, sem predominância de produtos alimentares, bebidas ou tabaco",Outubro de 2023,144.7,6,7.3,7.6
,Setembro de 2023,134.48,6.3,1.4,-0.7
,Agosto de 2023,135.36,7.2,1.3,-5.2
,Julho de 2023,,,,
,Junho de 2023,129.18,9.2,10.1,5.3
,Maio de 2023,122.63,8.9,3.2,4.6
,Abril de 2023,117.26,9.2,0.8,-4.7
,Março de 2023,122.99,10.6,10.9,12.8
,Fevereiro de 2023,109.01,11,8.9,-15.4
,Janeiro de 2023,128.78,11.2,10.4,-39
,Dezembro de 2022,211.24,11.4,11.1,22.2
,Novembro de 2022,172.81,10.4,3.3,28.1
,Outubro de 2022,134.9,11.6,11.2,1.7
,Setembro de 2022,132.6,11.4,13.7,-0.7
,Agosto de 2022,133.6,11.1,10.5,-3.4
,Julho de 2022,138.24,10.8,17.1,17.8
,Junho de 2022,117.38,9.4,7.2,-1.3
,Maio de 2022,118.88,9.5,6.4,2.1
,Abril de 2022,116.38,11,20.2,4.9
,Março de 2022,110.91,10.9,16.8,10.8
,Fevereiro de 2022,100.13,11.1,11.4,-14.2
,Janeiro de 2022,116.69,10.1,14,-38.6
,Dezembro de 2021,190.13,8.6,3.5,13.6
,Novembro de 2021,167.3,8,12.9,37.9
,Outubro de 2021,121.28,6.8,9.7,4
,Setembro de 2021,116.6,6.3,10,-3.5
,Agosto de 2021,120.86,5.4,6.3,2.4
,Julho de 2021,118.06,5.2,1,7.8
,Junho de 2021,109.47,5.5,8.3,-2
,Maio de 2021,111.68,4,27.9,15.4
,Abril de 2021,96.79,0.7,21.7,1.9
,Março de 2021,94.97,-2.3,20.6,5.7
,Fevereiro de 2021,89.88,-5.2,-2.3,-12.2
,Janeiro de 2021,102.35,-4.9,-4.6,-44.3
,Dezembro de 2020,183.69,-4.7,-0.7,23.9
,Novembro de 2020,148.2,-5,1.8,34
,Outubro de 2020,110.6,-5.3,3,4.3
,Setembro de 2020,106.02,-6,-0.8,-6.7
,Agosto de 2020,113.67,-6.4,4.3,-2.7
,Julho de 2020,116.88,-7.7,3.4,15.6
,Junho de 2020,101.07,-8.4,-8.8,15.8
,Maio de 2020,87.31,-7.4,-18.4,9.8
,Abril de 2020,79.51,-5.9,-22.5,1
,Março de 2020,78.73,-3.8,-24.4,-14.4
,Fevereiro de 2020,91.99,-1.9,2,-14.3
,Janeiro de 2020,107.3,-1.9,-1.4,-42
,Dezembro de 2019,184.93,-3.1,-3.3,27
,Novembro de 2019,145.56,-2.1,-3.6,35.5
,Outubro de 2019,107.43,-0.7,-5.3,0.6
,Setembro de 2019,106.83,0.1,-5.8,-1.9
,Agosto de 2019,108.94,1.1,-9.8,-3.6
,Julho de 2019,113.03,2.8,-6.1,2
,Junho de 2019,110.8,3.7,5.4,3.6
,Maio de 2019,106.98,3.7,1.9,4.3
,Abril de 2019,102.59,4.3,6.7,-1.5
,Março de 2019,104.16,4.1,1.9,15.5
,Fevereiro de 2019,90.2,4.8,2.4,-17.1
,Janeiro de 2019,108.83,5,-15.4,-43.1
"4730: Comércio a retalho de combustível para veículos a motor, em estabelecimentos especializados",Outubro de 2023,135.58,-6.1,-4.7,3
,Setembro de 2023,131.62,-5.3,-2.6,-3.2
,Agosto de 2023,136,-4.6,-10.4,-0.1
,Julho de 2023,,,,
,Junho de 2023,122.41,-0.7,-16,-3.7
,Maio de 2023,127.13,2.4,-13.8,5.8
,Abril de 2023,120.19,5.3,-7.6,-7.4
,Março de 2023,129.77,7.3,-11.9,11.8
,Fevereiro de 2023,116.09,11.6,-3.4,-6.6
,Janeiro de 2023,124.27,14.6,7.6,-1.3
,Dezembro de 2022,125.94,16,1.6,-3.7
,Novembro de 2022,130.79,17.7,2.2,-8.1
,Outubro de 2022,142.31,20.3,5.9,5.3
,Setembro de 2022,135.17,22.4,6.1,-11
,Agosto de 2022,151.81,23.7,12.2,2
,Julho de 2022,148.86,24.1,14.4,2.1
,Junho de 2022,145.77,24.3,19.9,-1.2
,Maio de 2022,147.48,24.8,20.3,13.4
,Abril de 2022,130.04,26.5,17.2,-11.7
,Março de 2022,147.31,29.8,40.3,22.6
,Fevereiro de 2022,120.16,26.7,41.4,4.1
,Janeiro de 2022,115.48,20.5,28.1,-6.9
,Dezembro de 2021,123.98,15.2,20.7,-3.1
,Novembro de 2021,128.01,11.2,34.1,-4.7
,Outubro de 2021,134.33,6.5,29.3,5.4
,Setembro de 2021,127.39,2.3,18.6,-5.9
,Agosto de 2021,135.33,-0.3,15.4,4
,Julho de 2021,130.15,-3.1,14.8,7.1
,Junho de 2021,121.55,-6,25,-0.8
,Maio de 2021,122.59,-9.7,42,10.5
,Abril de 2021,110.93,-15,69.8,5.6
,Março de 2021,105,-21.6,5.5,23.5
,Fevereiro de 2021,84.99,-23.1,-27.1,-5.7
,Janeiro de 2021,90.17,-20.6,-26.4,-12.2
,Dezembro de 2020,102.73,-18.1,-20,7.6
,Novembro de 2020,95.44,-16.2,-20.5,-8.2
,Outubro de 2020,103.91,-14.9,-17.6,-3.3
,Setembro de 2020,107.43,-13.5,-11.4,-8.4
,Agosto de 2020,117.32,-12.8,-14.7,3.5
,Julho de 2020,113.33,-11.5,-16.8,16.6
,Junho de 2020,97.23,-9.7,-22.5,12.6
,Maio de 2020,86.32,-7.7,-34.2,32.1
,Abril de 2020,65.33,-4.6,-48.6,-34.4
,Março de 2020,99.55,0.4,-17.5,-14.6
,Fevereiro de 2020,116.53,2.1,7.1,-4.9
,Janeiro de 2020,122.55,1.6,5,-4.6
,Dezembro de 2019,128.4,1.5,2.8,7
,Novembro de 2019,120.02,1.4,-1.3,-4.8
,Outubro de 2019,126.09,2,-2.5,4
,Setembro de 2019,121.19,3.2,-4.6,-11.8
,Agosto de 2019,137.46,4.4,-0.5,0.9
,Julho de 2019,136.23,5.4,3,8.6
,Junho de 2019,125.39,6.1,1.3,-4.4
,Maio de 2019,131.14,6.7,2.3,3.1
,Abril de 2019,127.17,7.5,10.8,5.4
